subject,group,run,trial,stims_onset,stims_duration,left_stim,right_stim,key_pressed,response,response_onset,RT,accuracy,ISI_onset,ISI_duration,feedback,feedback_onset,feedback_duration,ITI_onset,ITI_duration,reversal,lnRT,outlier,position,rel_position,action,state,reward,alpha_gain,alpha_loss,beta,Q,PE
011,human,1,2,166.693,1.156,Red,Blue,right,rich,167.448,0.755,1.0,167.849,0.55,reward,168.415,1.3,169.715,0.866,0,-0.281037529733,0,1,-14,1,1,1,1.0,1.0,0.00174320578013,1.0,0.5
011,human,1,3,170.591,1.439,Red,Blue,right,rich,171.632,1.04,1.0,172.031,0.483,reward,172.53,1.3,173.83,0.516,0,0.0392207131533,0,2,-13,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,4,174.357,1.439,Red,Blue,right,rich,175.4,1.043,1.0,175.796,0.416,reward,176.229,1.3,177.529,0.55,0,0.0421011760186,0,3,-12,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,6,182.104,1.373,Red,Blue,right,rich,183.08,0.976,1.0,183.477,0.55,no_incentive,184.043,0.7,184.743,0.733,0,-0.024292692569,0,4,-11,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,7,185.486,1.239,Red,Blue,left,lean,186.32,0.834,0.0,186.725,0.566,reward,187.309,1.3,188.608,0.966,0,-0.181521876623,0,5,-10,2,1,1,1.0,1.0,0.00174320578013,1.0,0.5
011,human,1,8,189.585,1.039,Red,Blue,left,lean,190.224,0.639,0.0,190.624,0.516,no_incentive,191.157,0.7,191.857,0.5,0,-0.447850824605,0,6,-9,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,9,192.367,1.139,Red,Blue,right,rich,193.104,0.737,1.0,193.506,0.4,reward,193.923,1.3,195.222,0.9,0,-0.305167386793,0,7,-8,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,10,196.132,1.089,Red,Blue,right,rich,196.824,0.691,1.0,197.222,0.4,reward,197.638,1.3,198.938,0.716,0,-0.369615455214,0,8,-7,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,11,199.664,0.956,Red,Blue,right,rich,200.215,0.551,1.0,200.621,0.533,reward,201.17,1.3,202.47,0.616,0,-0.596020469829,0,9,-6,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,12,203.096,1.156,Red,Blue,right,rich,203.847,0.751,1.0,204.253,0.483,reward,204.752,1.3,206.052,0.7,0,-0.286349627218,0,10,-5,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,13,206.762,0.989,Red,Blue,right,rich,207.352,0.59,1.0,207.751,0.416,reward,208.185,1.299,209.484,0.966,0,-0.527632742082,0,11,-4,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,14,210.46,0.756,Red,Blue,right,rich,210.807,0.347,1.0,211.217,0.533,reward,211.767,1.3,213.066,0.566,0,-1.05843049904,0,12,-3,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,15,213.643,0.923,Red,Blue,right,rich,214.167,0.525,1.0,214.566,0.467,reward,215.049,1.3,216.348,0.8,0,-0.644357016391,0,13,-2,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,16,217.158,0.906,Red,Blue,right,rich,217.663,0.505,1.0,218.064,0.583,reward,218.664,1.299,219.964,0.816,0,-0.683196849707,0,14,-1,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,17,220.79,0.806,Red,Blue,right,lean,221.191,0.401,0.0,221.596,0.5,no_incentive,222.113,0.7,222.813,0.6,1,-0.913793851676,0,15,0,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,18,223.423,0.773,Red,Blue,left,rich,223.791,0.369,1.0,224.196,0.45,no_incentive,224.662,0.7,225.362,0.533,0,-0.996958634942,0,1,-56,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,19,225.905,0.806,Red,Blue,right,lean,226.303,0.398,0.0,226.711,0.583,no_incentive,227.311,0.7,228.011,0.7,0,-0.921303273698,0,2,-55,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,20,228.721,0.94,Red,Blue,left,rich,229.263,0.542,1.0,229.66,0.4,reward,230.077,1.3,231.376,0.666,0,-0.612489277542,0,3,-54,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,21,232.053,0.94,Red,Blue,left,rich,232.591,0.538,1.0,232.992,0.467,reward,233.476,1.3,234.775,0.833,0,-0.61989671882,0,4,-53,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,22,235.618,0.906,Red,Blue,left,rich,236.119,0.501,1.0,236.524,0.483,reward,237.024,1.3,238.324,0.583,0,-0.691149177897,0,5,-52,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,23,238.917,0.94,Red,Blue,left,rich,239.455,0.538,1.0,239.857,0.566,no_incentive,240.44,0.7,241.139,0.5,0,-0.61989671882,0,6,-51,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,24,241.649,0.94,Red,Blue,right,lean,242.191,0.542,0.0,242.589,0.466,reward,243.072,1.299,244.372,0.683,0,-0.612489277542,0,7,-50,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,25,245.065,0.79,Red,Blue,right,lean,245.455,0.39,0.0,245.855,0.483,no_incentive,246.354,0.7,247.054,0.516,0,-0.941608539858,0,8,-49,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,26,247.581,0.84,Red,Blue,left,rich,248.023,0.442,1.0,248.42,0.516,reward,248.953,1.299,250.253,0.516,0,-0.816445396904,0,9,-48,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,27,250.78,0.806,Red,Blue,left,rich,251.183,0.403,1.0,251.586,0.516,reward,252.119,1.299,253.418,0.5,0,-0.908818717035,0,10,-47,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,28,253.928,1.206,Red,Blue,left,rich,254.735,0.806,1.0,255.135,0.5,no_incentive,255.651,0.7,256.351,0.566,0,-0.215671536476,0,11,-46,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,29,256.927,0.89,Red,Blue,right,lean,257.415,0.487,0.0,257.817,0.566,reward,258.4,1.3,259.7,0.75,0,-0.7194911559,0,12,-45,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,30,260.459,0.823,Red,Blue,right,lean,260.879,0.419,0.0,261.282,0.566,no_incentive,261.866,0.7,262.565,0.833,0,-0.86988435906,0,13,-44,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,31,263.408,0.956,Red,Blue,left,rich,263.959,0.55,1.0,264.365,0.466,reward,264.848,1.3,266.147,0.75,0,-0.597837000756,0,14,-43,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,32,266.907,0.973,Red,Blue,left,rich,267.479,0.572,1.0,267.88,0.483,no_incentive,268.38,0.7,269.08,0.866,0,-0.558616287602,0,15,-42,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,33,269.956,0.789,Red,Blue,right,lean,270.343,0.386,0.0,270.746,0.483,no_incentive,271.245,0.7,271.945,0.75,0,-0.951917909517,0,16,-41,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,34,272.705,0.823,Red,Blue,left,rich,273.127,0.421,1.0,273.528,0.55,no_incentive,274.094,0.7,274.794,0.983,0,-0.8651224453,0,17,-40,2,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,35,275.787,0.806,Red,Blue,right,lean,276.191,0.404,0.0,276.594,0.533,no_incentive,277.143,0.7,277.843,0.7,0,-0.906340401021,0,18,-39,1,1,0,1.0,1.0,0.00174320578013,0.0,0.0
011,human,1,36,278.553,1.256,Red,Blue,right,lean,279.407,0.853,0.0,279.809,0.5,reward,280.326,1.3,281.625,0.566,0,-0.15899573149,0,19,-38,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,37,282.202,1.006,Red,Blue,right,lean,282.807,0.605,0.0,283.208,0.483,reward,283.708,1.3,285.007,0.566,0,-0.502526820951,0,20,-37,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,38,285.584,1.023,Red,Blue,right,lean,286.206,0.623,0.0,286.607,0.5,reward,287.123,1.3,288.423,0.816,0,-0.473208760195,0,21,-36,1,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,39,289.249,0.923,Red,Blue,right,lean,289.766,0.517,0.0,290.172,0.417,no_incentive,290.605,0.7,291.305,0.516,0,-0.659712404474,0,22,-35,1,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,40,291.832,0.99,Red,Blue,left,rich,292.422,0.591,1.0,292.821,0.583,reward,293.421,1.3,294.721,0.616,0,-0.525939261576,0,23,-34,2,1,1,1.0,1.0,0.00174320578013,1.0,1.0
011,human,1,41,295.347,0.973,Red,Blue,left,rich,295.918,0.571,1.0,296.32,0.4,reward,296.736,1.3,298.036,0.733,0,-0.560366069326,0,24,-33,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,42,298.779,0.756,Red,Blue,left,rich,299.134,0.355,1.0,299.536,0.533,reward,300.085,1.299,301.385,0.95,0,-1.03563748951,0,25,-32,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,43,302.345,0.956,Red,Blue,left,rich,302.894,0.55,1.0,303.301,0.55,reward,303.867,1.3,305.167,0.933,0,-0.597837000756,0,26,-31,2,1,1,1.0,1.0,0.00174320578013,1.0,0.0
011,human,1,44,306.11,0.956,Red,Blue,left,rich,306.662,0.552,1.0,307.066,0.583,no_incentive,307.666,0.7,308.366,0.883,0,-0.594207232705,0,27,-30,2,1,0,1.0,1.0,0.00174320578013,0.0,-1.0
011,human,1,45,309.259,0.856,Red,Blue,right,lean,309.71,0.451,0.0,310.115,0.566,reward,310.698,1.3,311.998,0.5,0,-0.796287939479,0,28,-29,1,1,1,1.0,1.0,0.00174320578013,1.0,1.0
